product_id,benefit_id
PROD_STANDARD_N,BEN_SPD_003
PROD_STANDARD_N,BEN_SPD_004
PROD_STANDARD_N,BEN_SPD_008
PROD_STANDARD_N,BEN_SPD_012
PROD_STANDARD_N,BEN_LIF_001
PROD_STANDARD_N,BEN_LIF_002
PROD_STANDARD_N,BEN_LIF_003
PROD_STANDARD_N,BEN_LIF_013
PROD_STANDARD_N,BEN_LIF_014
PROD_STANDARD_N,BEN_INS_001
PROD_STANDARD_N,BEN_INS_002
PROD_STANDARD_N,BEN_INS_005
PROD_STANDARD_N,BEN_NEW_001
PROD_STANDARD_N,BEN_NEW_003
PROD_STANDARD_N,BEN_NEW_004
PROD_STANDARD_N,BEN_NEW_005
PROD_STANDARD_N,BEN_NEW_006
PROD_STANDARD_N,BEN_NEW_007
PROD_STANDARD_N,BEN_PTS_005
PROD_STANDARD_N,BEN_PTS_008
PROD_STANDARD_N,BEN_INSR_003
PROD_YOUNG_CAMPUS,BEN_LIF_001
PROD_YOUNG_CAMPUS,BEN_LIF_002
PROD_YOUNG_CAMPUS,BEN_LIF_003
PROD_YOUNG_CAMPUS,BEN_LIF_006
PROD_YOUNG_CAMPUS,BEN_LIF_008
PROD_YOUNG_CAMPUS,BEN_LIF_013
PROD_YOUNG_CAMPUS,BEN_LIF_014
PROD_YOUNG_CAMPUS,BEN_INS_001
PROD_YOUNG_CAMPUS,BEN_INS_002
PROD_YOUNG_CAMPUS,BEN_INS_009
PROD_YOUNG_CAMPUS,BEN_NEW_001
PROD_YOUNG_CAMPUS,BEN_NEW_003
PROD_YOUNG_CAMPUS,BEN_NEW_004
PROD_YOUNG_CAMPUS,BEN_NEW_006
PROD_YOUNG_CAMPUS,BEN_NEW_007
PROD_YOUNG_CAMPUS,BEN_NEW_010
PROD_YOUNG_CAMPUS,BEN_PTS_005
PROD_YOUNG_CAMPUS,BEN_PTS_008
PROD_YOUNG_CAMPUS,BEN_SPD_003
PROD_YOUNG_CAMPUS,BEN_SPD_008
PROD_YOUNG_CAMPUS,BEN_INSR_003
PROD_HELLOKITTY_N,BEN_SPD_003
PROD_HELLOKITTY_N,BEN_SPD_004
PROD_HELLOKITTY_N,BEN_SPD_012
PROD_HELLOKITTY_N,BEN_LIF_001
PROD_HELLOKITTY_N,BEN_LIF_002
PROD_HELLOKITTY_N,BEN_LIF_003
PROD_HELLOKITTY_N,BEN_LIF_004
PROD_HELLOKITTY_N,BEN_LIF_005
PROD_HELLOKITTY_N,BEN_LIF_007
PROD_HELLOKITTY_N,BEN_LIF_013
PROD_HELLOKITTY_N,BEN_LIF_014
